epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7046,1.35839,3.12108,1.67087,0.00607,0.9939,0.67642,0.28195,1.26712,2.7088,1.01481,0.000546086,0.000546086,0.000546086
2,87.703,0.93463,1.9951,1.1798,0.33645,0.86969,0.66527,0.40866,1.48545,1.9637,1.37217,0.0010963,0.0010963,0.0010963
3,125.271,0.89194,1.66395,1.14221,0.84407,0.95732,0.9058,0.54536,1.10864,1.85833,0.80897,0.00164101,0.00164101,0.00164101
4,163.333,0.88491,1.48794,1.11939,0.73402,0.92733,0.91305,0.62856,1.15451,1.37663,0.79391,0.00164225,0.00164225,0.00164225
5,200.942,0.82978,1.30519,1.08157,0.77647,0.96742,0.92448,0.61859,1.27722,1.32793,0.94221,0.00163399,0.00163399,0.00163399
6,238.323,0.78539,1.17661,1.06038,0.89675,0.96037,0.94776,0.69008,1.05834,0.9493,0.71581,0.00162574,0.00162574,0.00162574
7,276,0.77824,1.07371,1.05834,0.89713,0.98476,0.95654,0.68629,1.03171,0.82151,0.72966,0.00161749,0.00161749,0.00161749
8,308.01,0.74635,0.98946,1.03839,0.89912,0.98171,0.91095,0.66938,1.03364,0.76186,0.70236,0.00160924,0.00160924,0.00160924
9,347.292,0.74051,0.92596,1.02779,0.89349,0.98198,0.91826,0.66258,1.09853,0.77621,0.68688,0.00160099,0.00160099,0.00160099
10,381.968,0.68985,0.85291,1.02584,0.89011,0.98171,0.93619,0.7043,0.97749,0.70206,0.72766,0.00159274,0.00159274,0.00159274
11,417.232,0.6957,0.8143,1.02717,0.90537,0.97929,0.94228,0.69824,0.97892,0.69787,0.70665,0.00158448,0.00158448,0.00158448
12,452.693,0.67399,0.77073,1.00531,0.88213,0.98476,0.91965,0.70127,0.96652,0.64584,0.68764,0.00157623,0.00157623,0.00157623
13,487.932,0.70034,0.74141,0.99515,0.86681,0.78635,0.87716,0.65304,1.07945,1.13672,0.74473,0.00156798,0.00156798,0.00156798
14,522.524,0.65678,0.70516,0.99163,0.71438,0.8872,0.79749,0.56128,1.00464,0.8977,0.71822,0.00155973,0.00155973,0.00155973
15,557.834,0.63382,0.66084,0.98197,0.86977,0.98225,0.91259,0.70754,0.89774,0.67661,0.71589,0.00155148,0.00155148,0.00155148
16,593.102,0.64364,0.66629,0.9802,0.8862,0.95767,0.91567,0.65297,1.14771,0.69117,0.70643,0.00154323,0.00154323,0.00154323
17,628.448,0.65219,0.6463,0.99922,0.85506,0.93892,0.91214,0.67511,1.00629,0.70326,0.64689,0.00153497,0.00153497,0.00153497
18,663.102,0.62297,0.62923,0.97769,0.87288,0.97831,0.93808,0.70229,0.99467,0.62812,0.67216,0.00152672,0.00152672,0.00152672
19,698.586,0.61739,0.59732,0.96059,0.89251,0.93816,0.91336,0.70066,0.98394,0.66789,0.69974,0.00151847,0.00151847,0.00151847
20,733.712,0.61985,0.60852,0.97088,0.89173,0.97887,0.91693,0.68886,1.0249,0.60171,0.70391,0.00151022,0.00151022,0.00151022
21,769.059,0.60062,0.58088,0.96939,0.90142,0.98074,0.9092,0.68567,1.06012,0.6859,0.73632,0.00150197,0.00150197,0.00150197
22,803.774,0.61446,0.55675,0.9638,0.88055,0.98171,0.91633,0.67305,1.09224,0.70681,0.71764,0.00149372,0.00149372,0.00149372
23,839.1,0.60397,0.56516,0.95755,0.86991,0.98476,0.90652,0.66465,1.0762,0.64066,0.69752,0.00148546,0.00148546,0.00148546
24,870.159,0.61458,0.55204,0.96751,0.84081,0.98858,0.9374,0.70281,0.97993,0.7203,0.67548,0.00147721,0.00147721,0.00147721
25,908.812,0.60301,0.5398,0.96079,0.88724,0.98476,0.91056,0.68298,1.01582,0.63933,0.68979,0.00146896,0.00146896,0.00146896
26,943.783,0.60791,0.53296,0.95959,0.85985,0.97363,0.91234,0.69423,0.99735,0.60386,0.68382,0.00146071,0.00146071,0.00146071
27,979.101,0.6071,0.55065,0.97985,0.84114,0.98171,0.91027,0.69837,0.95569,0.64458,0.67251,0.00145246,0.00145246,0.00145246
28,1009.95,0.58536,0.51601,0.93937,0.86303,0.99591,0.92187,0.70141,0.94715,0.66777,0.67994,0.00144421,0.00144421,0.00144421
29,1048.47,0.60017,0.52262,0.95713,0.89091,0.98476,0.92211,0.70901,0.93944,0.57158,0.65427,0.00143595,0.00143595,0.00143595
30,1083.16,0.58036,0.53762,0.95755,0.88121,0.99085,0.91763,0.68278,1.01153,0.61722,0.67003,0.0014277,0.0014277,0.0014277
31,1118.53,0.56404,0.49596,0.94965,0.89432,0.98171,0.91165,0.6865,0.99416,0.59802,0.67325,0.00141945,0.00141945,0.00141945
32,1153.82,0.59044,0.49984,0.9497,0.86486,0.98476,0.91663,0.67974,1.01523,0.59111,0.6422,0.0014112,0.0014112,0.0014112
33,1189.64,0.57766,0.47744,0.94441,0.8862,0.9878,0.9163,0.67199,1.06294,0.60448,0.70812,0.00140295,0.00140295,0.00140295
34,1224.48,0.56861,0.49407,0.94453,0.88272,0.98319,0.91985,0.70377,0.96277,0.64462,0.71979,0.0013947,0.0013947,0.0013947
35,1259.93,0.55543,0.49334,0.94216,0.89384,0.98717,0.94568,0.72091,0.9485,0.56371,0.67552,0.00138644,0.00138644,0.00138644
36,1290.89,0.55571,0.48514,0.94083,0.88988,0.98477,0.91521,0.69283,1.06342,0.57068,0.66829,0.00137819,0.00137819,0.00137819
37,1329.31,0.57,0.46735,0.93432,0.86845,0.99344,0.91749,0.68574,1.03539,0.57361,0.66369,0.00136994,0.00136994,0.00136994
38,1364.37,0.57734,0.50131,0.95586,0.87538,0.98556,0.92536,0.69958,0.97806,0.61521,0.68353,0.00136169,0.00136169,0.00136169
39,1399.85,0.58005,0.50339,0.94774,0.82893,0.96951,0.90112,0.68697,0.92328,0.58652,0.65297,0.00135344,0.00135344,0.00135344
40,1430.92,0.55619,0.48838,0.94349,0.89776,0.98607,0.92625,0.69214,1.01023,0.61095,0.70082,0.00134519,0.00134519,0.00134519
41,1468.62,0.56949,0.47453,0.95571,0.87128,0.99695,0.93538,0.71529,0.94091,0.56307,0.66083,0.00133693,0.00133693,0.00133693
42,1504.34,0.57472,0.47556,0.94578,0.87011,0.98192,0.94166,0.73446,0.9479,0.569,0.66225,0.00132868,0.00132868,0.00132868
43,1539.74,0.52099,0.4526,0.94553,0.88507,0.99085,0.92058,0.71043,0.9448,0.55182,0.65238,0.00132043,0.00132043,0.00132043
44,1575.07,0.54591,0.4371,0.93449,0.89267,0.97705,0.93187,0.70569,0.95658,0.56565,0.65456,0.00131218,0.00131218,0.00131218
45,1610.37,0.58522,0.48181,0.95636,0.85396,0.98981,0.91118,0.70097,0.94055,0.55269,0.65442,0.00130393,0.00130393,0.00130393
46,1644.87,0.57585,0.47591,0.9408,0.89533,0.98476,0.91444,0.67433,1.0335,0.5532,0.72881,0.00129568,0.00129568,0.00129568
47,1680.19,0.55155,0.45977,0.93738,0.87589,0.94515,0.92103,0.69731,0.97826,0.59782,0.65645,0.00128742,0.00128742,0.00128742
