epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8352,1.33903,4.51044,0.01774,0.00585,1,0.38506,0.25495,0.80896,3.98321,0.01743,0.000546086,0.000546086,0.000546086
2,29.8284,0.87043,3.26225,0.01098,0.90503,0.46646,0.62618,0.4648,0.95563,2.43102,0.02438,0.00109085,0.00109085,0.00109085
3,41.0697,0.83668,2.72865,0.00991,0.54726,0.71341,0.58383,0.48917,0.69001,2.23509,0.01444,0.0016246,0.0016246,0.0016246
4,52.7926,0.83261,2.40002,0.01049,0.53939,0.75305,0.72822,0.61621,0.68256,1.69203,0.01322,0.00161749,0.00161749,0.00161749
5,69.7744,0.80958,2.07007,0.00981,0.68289,0.81707,0.83512,0.68029,0.75932,1.4577,0.01416,0.00160099,0.00160099,0.00160099
6,87.3041,0.73759,1.86664,0.00855,0.6739,0.80684,0.79275,0.68799,0.55638,1.28981,0.01009,0.00158448,0.00158448,0.00158448
7,104.903,0.72944,1.59148,0.00795,0.6813,0.72561,0.82982,0.66135,0.75619,1.336,0.01618,0.00156798,0.00156798,0.00156798
8,122.337,0.7274,1.35118,0.00797,0.7832,0.93132,0.86342,0.7247,0.70084,0.78172,0.01124,0.00155148,0.00155148,0.00155148
9,139.678,0.75968,1.19405,0.00856,0.82021,0.9275,0.8818,0.69858,0.74964,0.95779,0.01599,0.00153497,0.00153497,0.00153497
10,157.376,0.75552,1.07353,0.00838,0.88141,0.93727,0.91119,0.73174,0.78986,0.61055,0.01417,0.00151847,0.00151847,0.00151847
11,175.263,0.73135,0.99826,0.00809,0.8696,0.97087,0.91195,0.74303,0.76132,0.51312,0.01446,0.00150197,0.00150197,0.00150197
12,192.942,0.73128,0.94839,0.0092,0.89185,0.95396,0.9027,0.71296,0.89442,0.55932,0.01736,0.00148546,0.00148546,0.00148546
13,210.686,0.70674,0.90009,0.00774,0.83855,0.80587,0.90107,0.68706,0.91545,0.66204,0.01899,0.00146896,0.00146896,0.00146896
14,228.43,0.72537,0.83908,0.0087,0.82828,0.85976,0.89141,0.70108,0.85821,0.67951,0.01367,0.00145246,0.00145246,0.00145246
15,247.055,0.68769,0.75877,0.00748,0.83903,0.98835,0.8948,0.76084,0.64885,0.60772,0.01223,0.00143595,0.00143595,0.00143595
16,265.783,0.69809,0.72307,0.00716,0.83402,0.96234,0.89172,0.7356,0.68367,0.56546,0.01362,0.00141945,0.00141945,0.00141945
17,283.868,0.68613,0.69995,0.00718,0.79367,0.93007,0.87463,0.74713,0.66853,0.60186,0.01236,0.00140295,0.00140295,0.00140295
18,301.318,0.65814,0.65401,0.00723,0.83314,0.96341,0.89499,0.70336,0.81831,0.56459,0.01682,0.00138644,0.00138644,0.00138644
19,318.928,0.68036,0.6085,0.00748,0.85896,0.94274,0.92782,0.70855,0.85351,0.4768,0.01531,0.00136994,0.00136994,0.00136994
20,336.408,0.70586,0.61491,0.00731,0.88248,0.93984,0.91076,0.69091,0.84684,0.47654,0.01491,0.00135344,0.00135344,0.00135344
21,354.495,0.6506,0.60804,0.0069,0.84938,0.91768,0.89713,0.74825,0.69142,0.52509,0.01054,0.00133693,0.00133693,0.00133693
22,372.097,0.69536,0.56366,0.0067,0.82548,0.9859,0.90191,0.7323,0.78252,0.63027,0.0145,0.00132043,0.00132043,0.00132043
23,389.409,0.65464,0.54572,0.00701,0.8756,0.973,0.91024,0.77384,0.6047,0.44138,0.00812,0.00130393,0.00130393,0.00130393
24,407.021,0.64193,0.52874,0.00663,0.87854,0.98163,0.90605,0.76316,0.69633,0.42067,0.0126,0.00128742,0.00128742,0.00128742
25,424.673,0.64432,0.5265,0.00667,0.88379,0.96951,0.90457,0.74449,0.74062,0.50582,0.01301,0.00127092,0.00127092,0.00127092
26,441.802,0.628,0.49511,0.00666,0.87988,0.97233,0.91279,0.70314,0.83179,0.51433,0.01544,0.00125442,0.00125442,0.00125442
27,459.1,0.64635,0.52329,0.00629,0.87522,0.90985,0.90888,0.74337,0.68807,0.48345,0.01186,0.00123791,0.00123791,0.00123791
