epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.815,0.42224,0.37569,0.89348,0.9878,0.9991,0.99134,0.92085,0.42581,0.24464,0.91552,0.00015003,0.00015003,0.00015003
2,39.931,0.42501,0.32196,0.88798,0.98871,0.99793,0.9913,0.92211,0.39718,0.27135,0.9211,0.000313594,0.000313594,0.000313594
3,46.814,0.43688,0.33919,0.8887,0.98763,0.99874,0.98963,0.90782,0.39694,0.30335,0.92146,0.000473858,0.000473858,0.000473858
4,53.6834,0.45325,0.33068,0.90479,0.98734,0.99798,0.99087,0.90562,0.42615,0.30648,0.92849,0.000630821,0.000630821,0.000630821
5,60.6086,0.44087,0.34546,0.8965,0.91404,0.98763,0.97113,0.87206,0.47904,0.40248,0.93681,0.000784484,0.000784484,0.000784484
6,67.4876,0.48556,0.38581,0.91167,0.96643,0.99889,0.98864,0.86372,0.49477,0.45908,0.93236,0.000934845,0.000934845,0.000934845
7,74.6996,0.50408,0.39964,0.90729,0.93602,0.98783,0.98822,0.82208,0.58637,0.52782,0.96642,0.00108191,0.00108191,0.00108191
8,81.6852,0.53314,0.43258,0.92634,0.97697,0.97829,0.98846,0.86662,0.52155,0.49,0.96693,0.00122567,0.00122567,0.00122567
9,88.6162,0.52407,0.4474,0.92192,0.91402,0.96133,0.98224,0.81013,0.76432,0.6487,1.2503,0.00136613,0.00136613,0.00136613
10,95.5437,0.54088,0.45549,0.93967,0.96474,0.90513,0.98164,0.75063,0.7663,0.67828,1.14881,0.00150329,0.00150329,0.00150329
11,102.51,0.56404,0.44979,0.93361,0.94937,0.9627,0.97849,0.75331,0.66312,1.1183,1.08104,0.00150197,0.00150197,0.00150197
12,109.474,0.54947,0.45775,0.92845,0.95384,0.98596,0.98619,0.70355,0.66214,0.95268,1.10431,0.00148546,0.00148546,0.00148546
13,116.509,0.55949,0.45543,0.94193,0.72226,0.93737,0.90601,0.73969,0.69456,0.82427,1.04264,0.00146896,0.00146896,0.00146896
14,123.471,0.56701,0.47273,0.93392,0.89559,0.94132,0.9626,0.76812,0.70852,0.86755,1.1065,0.00145246,0.00145246,0.00145246
15,130.574,0.55125,0.46234,0.93201,0.87811,0.98119,0.92782,0.59682,0.80551,0.89513,1.17133,0.00143595,0.00143595,0.00143595
16,137.659,0.53203,0.45427,0.92891,0.84719,0.97151,0.98467,0.79417,0.72498,0.75343,1.02213,0.00141945,0.00141945,0.00141945
17,144.709,0.53135,0.43973,0.9287,0.87734,0.98376,0.98694,0.84219,0.58024,0.54002,0.9925,0.00140295,0.00140295,0.00140295
18,151.668,0.5156,0.43451,0.92587,0.92006,0.98525,0.98524,0.81185,0.6965,0.61187,1.04593,0.00138644,0.00138644,0.00138644
19,158.64,0.5777,0.46506,0.93973,0.9878,0.99778,0.98947,0.8291,0.64416,0.57123,0.9927,0.00136994,0.00136994,0.00136994
20,165.665,0.51633,0.43884,0.92214,0.89869,0.98228,0.97839,0.8228,0.60084,0.60916,1.03015,0.00135344,0.00135344,0.00135344
21,172.957,0.52576,0.45962,0.91605,0.86889,0.77101,0.88232,0.69086,0.61284,0.75288,0.98559,0.00133693,0.00133693,0.00133693
22,180,0.53575,0.42,0.91849,0.82233,0.98499,0.96428,0.84132,0.56297,0.58501,1.00291,0.00132043,0.00132043,0.00132043
23,187.194,0.52506,0.43985,0.92196,0.94338,0.98987,0.98534,0.81745,0.55513,0.48549,0.98592,0.00130393,0.00130393,0.00130393
24,194.147,0.50998,0.40769,0.91291,0.83008,0.99889,0.96489,0.84856,0.51409,0.55949,0.96013,0.00128742,0.00128742,0.00128742
25,201.143,0.51636,0.4248,0.92265,0.96579,0.99557,0.98558,0.84347,0.61633,0.52212,1.00468,0.00127092,0.00127092,0.00127092
26,208.157,0.47684,0.40961,0.91187,0.98749,0.99778,0.98904,0.8716,0.49905,0.3848,0.94195,0.00125442,0.00125442,0.00125442
27,215.142,0.51084,0.40016,0.91915,0.97495,0.99779,0.98743,0.85619,0.55133,0.38358,0.97415,0.00123791,0.00123791,0.00123791
28,222.127,0.53031,0.42768,0.9145,0.96351,0.99557,0.98679,0.88301,0.48042,0.41119,0.94556,0.00122141,0.00122141,0.00122141
29,229.122,0.49302,0.39578,0.90908,0.98268,0.99778,0.98916,0.84375,0.57601,0.3874,0.95772,0.00120491,0.00120491,0.00120491
30,236.421,0.49531,0.39045,0.91149,0.98212,0.99778,0.98887,0.89127,0.4552,0.35451,0.94029,0.0011884,0.0011884,0.0011884
31,243.428,0.51063,0.41144,0.92335,0.94641,0.99889,0.97486,0.85436,0.52246,0.44004,0.94581,0.0011719,0.0011719,0.0011719
32,250.566,0.48933,0.40406,0.91344,0.97314,0.98836,0.98852,0.86079,0.54381,0.45779,0.9653,0.0011554,0.0011554,0.0011554
33,257.591,0.49811,0.39057,0.9142,0.98521,0.99346,0.98732,0.87796,0.52181,0.38386,0.95299,0.00113889,0.00113889,0.00113889
34,264.553,0.48458,0.39774,0.90534,0.98822,0.99778,0.98911,0.88836,0.5006,0.34846,0.94307,0.00112239,0.00112239,0.00112239
35,271.557,0.50035,0.39366,0.90843,0.97833,0.99378,0.98823,0.80019,0.65384,0.51017,1.00246,0.00110589,0.00110589,0.00110589
36,278.593,0.47194,0.36564,0.91028,0.98814,0.99778,0.98883,0.88839,0.5009,0.31538,0.93104,0.00108938,0.00108938,0.00108938
37,285.872,0.47646,0.36015,0.90629,0.98497,0.99778,0.98857,0.78486,0.72062,0.47719,1.02505,0.00107288,0.00107288,0.00107288
38,292.869,0.47795,0.37796,0.90213,0.98366,0.99778,0.99005,0.87335,0.50406,0.36548,0.9511,0.00105638,0.00105638,0.00105638
39,299.825,0.48169,0.39478,0.91454,0.98723,0.99778,0.98971,0.89148,0.46603,0.31531,0.94296,0.00103987,0.00103987,0.00103987
40,306.814,0.46996,0.36048,0.8919,0.98796,0.99778,0.99018,0.89876,0.46781,0.33989,0.9459,0.00102337,0.00102337,0.00102337
41,313.757,0.47536,0.37761,0.90859,0.98609,0.99778,0.99033,0.89809,0.44639,0.31416,0.9265,0.00100687,0.00100687,0.00100687
42,320.67,0.45895,0.36616,0.90751,0.98795,0.99778,0.98966,0.89657,0.46633,0.31628,0.9446,0.000990365,0.000990365,0.000990365
43,327.593,0.46626,0.34894,0.91127,0.88395,0.98283,0.95648,0.87331,0.46248,0.39537,0.92925,0.000973861,0.000973861,0.000973861
44,334.577,0.45997,0.34903,0.89669,0.95239,0.9909,0.98607,0.88432,0.47254,0.36028,0.93044,0.000957358,0.000957358,0.000957358
45,341.653,0.44531,0.34863,0.89146,0.98745,0.99769,0.98942,0.88941,0.47957,0.36039,0.94282,0.000940855,0.000940855,0.000940855
46,348.744,0.46253,0.38084,0.90144,0.98708,0.99889,0.99107,0.8939,0.47216,0.36957,0.92625,0.000924352,0.000924352,0.000924352
47,355.614,0.47709,0.37045,0.90266,0.98499,0.99899,0.99107,0.90558,0.46472,0.32406,0.93114,0.000907848,0.000907848,0.000907848
